,Date,Open,High,Low,Close,Volume,Name,Pct Returns
180,3/3/2023,129.35,129.905,128.77,129.64,2860286,IBM,-0.422459482
181,3/2/2023,128.39,129.22,127.71,128.93,3340254,IBM,-0.547670472
182,3/1/2023,128.9,129.4726,127.74,128.19,3760678,IBM,-0.573954859
183,2/28/2023,130.55,130.61,129.14,129.3,5143133,IBM,0.865902176
184,2/27/2023,131.42,131.87,130.13,130.49,2761326,IBM,0.920340294
185,2/24/2023,129.62,130.67,129.22,130.57,3015907,IBM,0.06130738
186,2/23/2023,131.5,131.7,128.86,130.79,3725648,IBM,0.168491997
187,2/22/2023,131.9,131.99,130.29,130.97,3200185,IBM,0.137625201
188,2/21/2023,134,134.385,131.66,131.71,4257210,IBM,0.565014889
189,2/17/2023,134.5,135.58,133.89,135.02,3466184,IBM,2.513096955
190,2/16/2023,135.57,135.9672,134.59,135,2965495,IBM,-0.01481262
191,2/15/2023,135.2,136.445,135.07,136.4,2507004,IBM,1.037037037
192,2/14/2023,137.05,137.24,135.05,136.01,3202172,IBM,-0.285923754
193,2/13/2023,136,137.39,135.85,137.35,4403015,IBM,0.985221675
194,2/10/2023,133.78,135.77,133.5,135.6,5049571,IBM,-1.274117219
195,2/9/2023,134.99,135.73,133.34,133.75,3918817,IBM,-1.364306785
196,2/8/2023,135.71,136.74,135.16,135.98,4593748,IBM,1.66728972
197,2/7/2023,135.67,136.4,134.45,135.84,3737553,IBM,-0.102956317
198,2/6/2023,135.83,136.32,134.95,136.18,4841300,IBM,0.250294464
199,2/3/2023,136.35,136.95,135.53,136.94,3755720,IBM,0.558084888
200,2/2/2023,135.96,136.72,134.85,136.39,6107793,IBM,-0.401635753
201,2/1/2023,134.49,135.79,132.8,135.09,5428898,IBM,-0.953149058
202,1/31/2023,135.5,135.65,133.76,134.73,7206448,IBM,-0.266489007
203,1/30/2023,134.32,136.11,133.98,135.3,5375712,IBM,0.423068359
204,1/27/2023,134.44,135.488,133.7701,134.39,8143146,IBM,-0.672579453
205,1/26/2023,137.53,138.27,132.98,134.45,17548483,IBM,0.044646179
206,1/25/2023,140.47,141.03,139.36,140.76,7347453,IBM,4.693194496
207,1/24/2023,141.25,142.75,140,141.49,4407622,IBM,0.518613242
208,1/23/2023,141.4,142.985,141.06,141.86,5898436,IBM,0.26150258
209,1/20/2023,141.67,141.86,140.51,141.2,7153341,IBM,-0.465247427
210,1/19/2023,140,142.23,139.75,140.62,4833924,IBM,-0.410764873
211,1/18/2023,144.4,144.678,140.225,140.41,6445642,IBM,-0.149338643
212,1/17/2023,146.42,147.18,145.01,145.19,2986461,IBM,3.404315932
213,1/13/2023,144.06,146.1,144.01,145.89,2455786,IBM,0.482126868
214,1/12/2023,144.88,146.66,144.52,145.55,2716118,IBM,-0.2330523
215,1/11/2023,145,145.53,143.45,145.26,3268738,IBM,-0.199244246
216,1/10/2023,143.61,144.85,142.9,144.8,2152172,IBM,-0.316673551
217,1/9/2023,144.08,145.47,143.4,143.55,3987782,IBM,-0.863259669
