Date,Open,High,Low,Close,Volume,Name,Pct Returns
2022-09-15,127.39,127.465,124.9,125.49,5141671,IBM,-1.3986013986013957
2022-09-14,127.5,129.0,126.845,127.69,3819067,IBM,1.7531277392621059
2022-09-13,129.14,129.909,126.7709,127.25,4565585,IBM,-0.3445845406844672
2022-09-12,130.33,130.99,129.89,130.66,3741168,IBM,2.679764243614935
2022-09-09,128.9,129.49,128.06,129.19,3293365,IBM,-1.1250574008877967
2022-09-08,127.2,128.54,126.59,128.47,2964613,IBM,-0.557318677916252
2022-09-07,126.69,127.8667,126.28,127.71,2401513,IBM,-0.5915778002646532
2022-09-06,127.8,128.06,126.3,126.72,3345343,IBM,-0.7751937984496138
2022-09-02,130.3,130.56,127.24,127.79,3040813,IBM,0.8443813131313149
2022-09-01,128.4,129.8173,127.74,129.66,3396219,IBM,1.463338289381011
2022-08-31,129.92,130.0,128.4,128.45,3490380,IBM,-0.9332099336726851
2022-08-30,130.56,130.77,129.29,129.58,2407888,IBM,0.8797197353055841
2022-08-29,129.99,131.42,129.57,130.31,2751308,IBM,0.5633585429850152
2022-08-26,134.1,134.18,130.34,130.38,4185254,IBM,0.05371805694114329
2022-08-25,133.65,134.425,133.07,133.98,2706005,IBM,2.7611596870685595
2022-08-24,134.89,135.11,133.11,133.23,2855421,IBM,-0.559785042543659
2022-08-23,135.37,136.1,134.72,134.74,4141798,IBM,1.1333783682353937
2022-08-22,137.65,137.85,135.47,135.55,3093629,IBM,0.6011577853644035
2022-08-19,138.75,139.34,137.66,138.37,3155842,IBM,2.080413131685721
2022-08-18,137.79,139.12,137.75,139.07,3177726,IBM,0.5058900050588955
2022-08-17,136.46,138.415,136.3,137.79,3667568,IBM,-0.9203997986625412
2022-08-16,134.6,137.37,134.4517,136.56,4313600,IBM,-0.8926627476594784
2022-08-15,132.96,135.19,132.24,134.93,2791241,IBM,-1.1936145284124122
2022-08-12,132.62,134.09,131.98,134.01,2767054,IBM,-0.6818350255688221
2022-08-11,132.36,133.225,132.0,132.54,3501925,IBM,-1.096933064696659
2022-08-10,130.75,131.78,130.34,131.5,3663995,IBM,-0.7846687792364526
2022-08-09,129.92,130.79,129.12,129.47,3495991,IBM,-1.5437262357414494
2022-08-08,133.1,133.35,132.02,132.61,3825145,IBM,2.4252722638449242
2022-08-05,131.25,132.67,131.07,132.48,2586519,IBM,-0.09803182263782295
2022-08-04,132.15,132.2866,131.02,131.64,3179789,IBM,-0.63405797101449
2022-08-03,131.82,132.862,131.32,132.34,3088532,IBM,0.5317532664843583
2022-08-02,132.2,132.78,130.51,131.81,4403633,IBM,-0.4004836028411729
2022-08-01,130.75,132.7,130.7,132.04,4142099,IBM,0.1744935892572519
2022-07-29,129.52,131.0,129.31,130.79,5786815,IBM,-0.9466828233868574
2022-07-28,128.75,129.81,128.606,129.22,3913680,IBM,-1.2003975839131376
2022-07-27,127.97,129.43,127.58,129.12,4175625,IBM,-0.07738740133106381
2022-07-26,128.26,129.3,127.63,128.08,3645313,IBM,-0.8054522924411334
2022-07-25,128.44,129.1257,127.9,128.54,4702352,IBM,0.35915053091815086
2022-07-22,127.03,128.32,125.71,128.25,6467205,IBM,-0.22561070483895218
2022-07-21,128.75,128.81,125.13,127.15,11975361,IBM,-0.8576998050682239
2022-07-20,130.7,130.72,128.06,129.18,9882016,IBM,1.596539520251672
2022-07-19,131.58,132.56,127.72,130.88,29690535,IBM,1.3159931877999576
2022-07-18,140.15,140.31,137.7844,138.13,8231694,IBM,5.539425427872868
2022-07-15,140.68,140.68,138.61,139.92,4519320,IBM,1.2958806921016475
2022-07-14,135.6,139.43,135.02,139.06,5298351,IBM,-0.6146369353916437
2022-07-13,137.18,138.9,136.8,137.18,4123213,IBM,-1.351934416798506
2022-07-12,140.84,141.55,138.565,139.18,3235571,IBM,1.4579384749963564
